Security Code,Security Name ,Close,Market Cap.,Data Taken (TOI),Data Taken (TET)
500325,RELIANCE INDUSTRIES LTD.,2469.95,1671073.78,TRUE,TRUE
532540,TATA CONSULTANCY SERVICES LTD.,3380.6,1236978.91,TRUE,TRUE
500180,HDFC Bank Ltd,1561.95,1181835.08,TRUE,TRUE
532174,ICICI BANK LTD.,970.45,679267.17,TRUE,TRUE
500696,HINDUSTAN UNILEVER LTD.,2567.35,603222.31,TRUE,TRUE
500209,INFOSYS LTD.,1420.55,589579.08,TRUE,TRUE
500875,ITC LTD.,443.85,553251.9,TRUE,TRUE
500112,STATE BANK OF INDIA,570.25,508926,TRUE,FALSE
532454,BHARTI AIRTEL LTD.,873.4,488461.91,TRUE,TRUE
500034,Bajaj Finance Limited,7208.7,436788.86,TRUE,TRUE
543526,Life Insurance Corporation of India,648.4,410112.85,TRUE,TRUE
500510,LARSEN & TOUBRO LTD.,2639.45,371013.95,TRUE,TRUE
500247,KOTAK MAHINDRA BANK LTD.,1780,353760.58,TRUE,TRUE
532281,HCL TECHNOLOGIES LTD.,1154.7,313346.91,TRUE,TRUE
500820,ASIAN PAINTS LTD.,3259.95,312693.68,TRUE,TRUE
532215,AXIS BANK LTD.,983.15,302863.12,TRUE,TRUE
532500,MARUTI SUZUKI INDIA LTD.,9508.5,287232.83,TRUE,TRUE
512599,ADANI ENTERPRISES LTD.,2494.85,284413.18,TRUE,TRUE
500114,Titan Company Limited,3066.25,272217.43,TRUE,TRUE
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,1107.65,265756.11,FALSE,TRUE
532978,BAJAJ FINSERV LTD.,1503.8,239929.61,TRUE,TRUE
532538,ULTRATECH CEMENT LTD.,8070.4,232981.43,TRUE,TRUE
540376,Avenue Supermarts Ltd,3532.95,229900.74,FALSE,TRUE
500312,Oil and Natural Gas Corporation Ltd,174.75,219840.38,TRUE,TRUE
500790,NESTLE INDIA LTD.,22214.55,214183.17,FALSE,TRUE
507685,WIPRO LTD.,409.95,214023.3,TRUE,TRUE
532555,NTPC LTD.,217.85,211241.87,TRUE,TRUE
500570,TATA MOTORS LTD.,605.45,201122.12,TRUE,TRUE
500520,MAHINDRA & MAHINDRA LTD.,1520.05,189022.6,TRUE,TRUE
500228,JSW STEEL LTD.,773,186851.14,TRUE,TRUE
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,806.4,174193.6,TRUE,TRUE
532898,POWER GRID CORPORATION OF INDIA LTD.,242.4,169084.98,FALSE,TRUE
541450,Adani Green Energy Ltd,979.45,155148.06,TRUE,TRUE
540005,LTIMindtree Ltd,5123.25,151599.78,FALSE,FALSE
500470,TATA STEEL LTD.,116.9,142850.72,TRUE,TRUE
533278,COAL INDIA LTD.,227.75,140356.14,TRUE,TRUE
540777,HDFC Life Insurance Company Ltd,628.2,135042.86,TRUE,TRUE
543940,Jio Financial Services Ltd,212.25,134848.46,FALSE,FALSE
500550,SIEMENS LTD.,3784.95,134789.74,FALSE,TRUE
500188,HINDUSTAN ZINC LTD.,314.35,132822.9,FALSE,TRUE
541154,Hindustan Aeronautics Ltd,3910.85,130773.94,TRUE,TRUE
532977,BAJAJ AUTO LTD.,4588.6,129837.81,TRUE,TRUE
530965,INDIAN OIL CORPORATION LTD.,91.8,129632.97,TRUE,TRUE
540719,SBI Life Insurance Company Ltd,1294.9,129615.04,TRUE,TRUE
500331,PIDILITE INDUSTRIES LTD.,2528.2,128547.67,FALSE,FALSE
533096,ADANI POWER LTD.,324.9,125311.95,TRUE,TRUE
532868,DLF LTD.,474.9,117552.55,FALSE,TRUE
500300,GRASIM INDUSTRIES LTD.,1774.75,116858.2,FALSE,TRUE
532755,TECH MAHINDRA LTD.,1189.5,115959.89,FALSE,TRUE
540180,Varun Beverages Ltd,875.4,113726.41,FALSE,TRUE
500825,BRITANNIA INDUSTRIES LTD.,4525.55,109006.15,TRUE,TRUE
532187,INDUSIND BANK LTD.,1401.35,108787.3,FALSE,TRUE
532424,GODREJ CONSUMER PRODUCTS LTD.,1030.25,105369.68,FALSE,TRUE
500440,HINDALCO INDUSTRIES LTD.,449.9,101102.27,FALSE,TRUE
500096,DABUR INDIA LTD.,558.05,98888.39,FALSE,TRUE
532134,BANK OF BARODA,189.75,98126.6,FALSE,TRUE
500087,CIPLA LTD.,1209.4,97630.4,FALSE,TRUE
539254,Adani Energy Solutions Ltd,874.5,97549.84,TRUE,TRUE
500049,BHARAT ELECTRONICS LTD.,133.35,97475.9,TRUE,TRUE
532488,DIVI'S LABORATORIES LTD.,3633.9,96468.63,FALSE,FALSE
500124,DR.REDDY'S LABORATORIES LTD.,5778.5,96357.09,FALSE,TRUE
539448,InterGlobe Aviation Ltd,2456.45,94767.78,TRUE,TRUE
505200,EICHER MOTORS LTD.,3341.65,91477.49,FALSE,TRUE
500002,ABB India Limited,4241.6,89883.06,FALSE,FALSE
511243,Cholamandalam Investment and Finance Company Ltd,1081.2,88907.52,FALSE,FALSE
500295,Vedanta Limited,233.35,86740.78,FALSE,TRUE
500425,AMBUJA CEMENTS LTD.,434.8,86335.85,FALSE,TRUE
500387,SHREE CEMENT LTD.,23852.1,86060.16,FALSE,FALSE
517354,HAVELLS INDIA LTD.,1309.15,82041.07,FALSE,FALSE
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,7225.5,80415.13,TRUE,TRUE
540133,ICICI Prudential Life Insurance Company Ltd,548.6,78964.66,TRUE,TRUE
500400,TATA POWER CO.LTD.,245.3,78381.68,TRUE,TRUE
543320,Zomato Ltd,90.94,78248.83,TRUE,TRUE
543066,SBI Cards and Payment Services Ltd,820.5,77658.11,TRUE,TRUE
500800,Tata Consumer Products Ltd,832.15,77307.7,TRUE,TRUE
532155,GAIL (INDIA) LTD.,116.45,76567.04,TRUE,TRUE
500547,BHARAT PETROLEUM CORPORATION LTD.,350.2,75967.23,TRUE,TRUE
542652,Polycab India Ltd,4999.2,74975.2,FALSE,TRUE
532432,UNITED SPIRITS LTD.,1007.8,73302.42,FALSE,TRUE
531642,MARICO LTD.,560.05,72432.86,FALSE,TRUE
542066,Adani Total Gas Ltd,653.65,71889.09,TRUE,TRUE
500251,TRENT LTD.,2013,71559.63,FALSE,TRUE
543904,Mankind Pharma Ltd,1785.8,71537.08,FALSE,TRUE
