Head Line,ChatGPT Score,sentiword,vaderSentiment,sentiment analysis score correct?,ChatGPT,vardar,similar outputs %,
Reliance: Reliance Industries to sell additional stake in retail arm,0,0,Neutral,,,,1,
"Reliance announces completion of Radisys-Mimosa acquisition, aims to boost Jio's 5G rollout",1,0,Positive,NO,,,1,
Reliance Jio to government: Achieved 5G rollout obligations in all circles,1,0,Neutral,YES,1,,,
"Reliance launches cheapest internet-enabled phone in India, JioBharat phone",1,-0.25,Neutral,,,,,
Reliance suspends gas auction after change in marketing rules,-1,-0.125,Neutral,,,,,
Reliance to commission new gas condensate field by year-end,1,0.375,Neutral,NO,,,,
Reliance Retail collaborates with NBA to sell merchandise in India,1,0,Neutral,YES,1,,,
"Reliance Brands forays into food & beverage space, signs franchise pact with Pret A Manger",1,0.125,Neutral,NO,,,,
Reliance picks up majority stake in homegrown designer label Abu Jani Sandeep Khosla,1,0,Neutral,NO,,,,
"Reliance invests Rs 1,670 crore to set up EMS venture in Chennai with Sanmina",1,0.25,Neutral,YES,1,,,
Reliance to invest $220 million in Sanmina JV in electronics manufacturing push,1,0,Neutral,YES,1,,,
Reliance moves in to take charge of Future Retail,1,0,Neutral,YES,1,,,
Reliance Jio to land multi-terabit IAX undersea cable system in Maldives,1,0,Neutral,YES,1,,,
Reliance delays 21-day crude unit shutdown to September,1,0,Negative,YES,1,,,
"Sebi bars Reliance Home Finance, Anil Ambani, 3 others from securities market",-1,0.375,Positive,,,,,
Withdrawal of Reliance Industries Limited from business deal with Saudi Aramco: Role of NCLT,-1,-0.125,Negative,,,,1,
Reliance buys New York's luxury hotel Mandarin Oriental for $98.15 million,1,1,Neutral,NO,,,,
RIL buys UK hi-tech battery company Faradion for its $10 billion new energy empire,1,1.375,Positive,YES,1,1,1,
RBI initiates insolvency proceedings against Reliance Capital at NCLT,-1,-0.125,Neutral,,,,,
Reliance to sell US shale gas assets,1,0.25,Positive,YES,1,1,1,
Reliance buys REC Solar for $771 million,1,0.5,Neutral,NO,,,,
Tata's Chairman promotes global MSME growth for economic advancement,1,-0.25,Positive,,,,1,
Tata Consulting Engineers designed and engineered units of Chandrayaan 3 launch vehicle,1,0,Neutral,,,,,
Tata Group to reportedly manufacture iPhone 15 and iPhone 15 Plus in India,1,0.625,Neutral,YES,1,,,
Tata partners IIT Hyderabad to develop Software Defined Vehicles,1,0.375,Neutral,,,,,
Tata Group expands in aviation Industry with Air India acquisition and Boeing-Airbus deal,1,0,Positive,YES,1,1,1,
"Tata Harrier, Safari to get new 1.5L turbo petrol engine showcased at Auto Expo 2023: Details",1,0.375,Neutral,YES,1,,,
Tata's 'iPhone plant' deal likely to be sealed this fiscal year,1,0.75,Neutral,NO,,,,
Tata Motors partners with Oracle to improve cloud infrastructure,1,0.375,Positive,YES,1,1,1,
Tata Motors to supply over 900 electric buses to Bengaluru Metropolitan Transport Corporation: Details,1,0,Neutral,YES,1,,,
Tatas & Singapore Airlines agree to merge Vistara into Air India by March 2024,1,0,Positive,YES,1,1,1,
"Tata Motors enters hydrogen mobility: To develop fuel-cells, BEVs and more with Cummins",1,0.125,Neutral,YES,1,,,
Tata Motors team in Maharashtra to investigate ST bus fires,0,0,Neutral,,,,1,
Tata-Airbus' C295 aircraft manufacturing facility to be 'big boost' for development of defence industrial complex,1,0,Positive,YES,1,1,1,
Sebi disposes of show cause notice issued to HDFC,1,0,Neutral,NO,,,,
HDFC Bank to unveil ‘bank on wheels’,1,0,Neutral,no,,,,
HDFC to sell 10% stake in HDFC Capital to ADIA,1,0,Neutral,yes,1,,,
HDFC raises home loan interest rates,-1,0,Positive,,,,,
HDFC Bank to launch revamped PayZapp,1,0,Neutral,yes,1,,,
HDFC Bank shares rise as central bank lifts curbs on digital ops,1,0.375,Positive,no,,,1,
Merger of HDFC entities to increase M&A prominence among banks: Fitch,1,-0.25,Positive,no,,,1,
HDFC Bank to acquire 9.94% stake in Go Digit Life Insurance,1,0.125,Neutral,yes,1,,,
"HUL board approves hike in royalty, central services fees to Unilever",-1,0,Positive,,,,,
HUL CEO will have role in Indonesia too,0,0,Neutral,,,,1,
Extend tax sops for new manufacturing units: HUL CEO Sanjiv Mehta,1,0.375,Positive,no,,,1,
Need MGNREGA-like scheme for urban poor: HUL chief,0,0.125,Negative,,,,,
Maharashtra cabinet clears path for HUL to launch bakery operations near Aarey,1,0.25,Positive,no,,,1,
HUL buys stakes in two wellness brands for Rs 334cr,1,1.125,Positive,yes,1,1,1,
Mehta retains top position at HUL as Unilever rejigs business model,1,0,Positive,no,,,,
Infosys announces 5-year deal with European telecom company: Order value and other details,1,-0.625,Positive,,,,1,
SEBI sends 'warning letter' to Infosys on updation delay,-1,0,Negative,,,,1,
Infosys Becomes Digital Innovation Partner for International Tennis Hall of Fame and Title Sponsor of the hall of fame open,1,0.125,Positive,no,,,1,
"Infosys does not support dual employment, have fired violators in last 12 months: Salil Parekh",1,-0.625,Negative,no,,,,
Infosys plays down Russia ties after UK finance chief grilled,0,0.125,Positive,,,,,
Infosys reimagines career mobility for employees,1,0.375,Neutral,no,,,,
