Published Date,Date,Stock dated one day after ,Stock dated after hold period ,Stock rate (one day after),Stock rate (after hold period),Net profit or loss,index
2021-10-04T07:00:00Z,2021-10-04,"2,008.85 (5 october 2021)","1,823.95 (3 january 2022)","2,008.85","1,823.95",-184.90,0
2021-10-10,2021-10-10,"2,724.70 (11 october 2021)","2,609.80 (11 april 2022)","2,724.70","2,609.80",-114.90,1
2021-11-08,2021-11-08,"2,502.00 (9 november 2021)","2,517.15 (9 may 2022)","2,502.00","2,517.15",15.15,2
2021-11-17T08:00:00Z,2021-11-17,(18 november 2021),(17 may 2022),"2,344.00","1,681.00",-663.00,3
2021-11-27T08:00:00Z,2021-11-27,339.30 (28 november 2022),382.15 (27 february 2023),339.3,382.15,42.85,4
2021-12-01T08:00:00Z,2021-12-01,(2 december 2021),(2 march 2022),371.8,342.1,-29.7,5
2021-12-03T08:00:00Z,2021-12-03,"1,800.00(6 december 2021)","1,637.75 (2 june 2022)","1,800.00","1,637.75",-162.25,6
2021-12-15T08:00:00Z,2021-12-15,"1,869.80 (15 december 2021)","1,799.00 (14 februray 2022)","1,869.80","1,799.00",-70.80,7
2021-12-21T08:00:00Z,2021-12-21,(22 december 2021),(20 june 2022),654.4,550.45,-103.95,8
2021-12-31,2021-12-31," 2,367.50 (3 january 2022)","2,654.45 (1 april 2022)","2,367.50","2,654.45",286.95,9
2022-01-05T08:00:00Z,2022-01-05,701.10 (6 january 2022),684.30 (5 july 2022),701.1,684.3,-16.8,10
2022-01-05T08:00:00Z,2022-01-05,(6 january 2022),(7 february 2022),"1,707.00","1,731.75",24.75,11
2022-01-08,2022-01-08,"2,453.95 (10 january 2022)","2,391.50 (8 july 2022)","2,453.95","2,391.50",-62.45,12
2022-01-11T08:00:00Z,2022-01-11,(12 january 2022),(12 april 2022),393,380.75,-12.25,13
2022-01-26,2022-01-26,"2,410.00 (27 january 2022)","2,144.25 (27 april 2022)","2,410.00","2,144.25",-265.75,14
2022-01-27T08:00:00Z,2022-01-27,"1,685.00 (28 january 2022)","1,471.20 (27 july 2022)","1,685.00","1,471.20",-213.80,15
2022-01-27T08:00:00Z,2022-01-27,"1,913.55 (28 january 2022)","1,718.15 (28 april 2022)","1,913.55","1,718.15",-195.40,16
2022-01-28T08:00:00Z,2022-01-28,730.25 (31 january 2022),739.70 (29 april 2022),730.25,739.7,9.45,17
2022-02-17,2022-02-17,"2,418.00 (18 february 2022)","2,467.15 (21 march 2022)","2,418.00","2,467.15",49.15,18
2022-02-21,2022-02-21,"2,352.00 (22 february 2022)","2,606.70 (22 august 2022)","2,352.00","2,606.70",254.70,19
2022-02-23T08:00:00Z,2022-02-23,(24 febraury 2022),(25 may 2022),114.25,114.85,0.6,20
2022-02-26,2022-02-26,"2,247.05 (28 february 2022)"," 2,819.20(28 april 2022)","2,247.05","2,819.20",572.15,21
2022-02-28T08:00:00Z,2022-02-28,479.70 (2 march 2022),509.40 (18 april 2022),479.7,509.4,29.7,22
2022-03-03,2022-03-03,"2,355.00 (4 march 2022)","2,560.20 (1 september 2022)","2,355.00","2,560.20",205.20,23
2022-03-04,2022-03-04,"2,296.00 (7 march 2022)","2,766.90 (5 june 2022)","2,296.00","2,766.90",470.90,24
2022-03-10,2022-03-10,"1,814.00 (11 march 2022)","1,553.60 (10 may 2022)","1,814.00","1,553.60",-260.40,25
2022-03-14,2022-03-14,"1,411.00 (14 march 2022)","1,290.95 (13 may 2022)","1,411.00","1,290.95",-120.05,26
2022-03-22T07:00:00Z,2022-03-22,"1,780.00 (23 march 2022)","1,765.15 (21 july 2022)","1,780.00","1,765.15",-14.85,27
2022-03-31,2022-03-31,"1,474.00  (1 april 2022)","1,403.10 (2 may 2022)","1,474.00","1,403.10",-70.90,28
2022-04-06T07:00:00Z,2022-04-06,259.00 (7 april 2022),(6 june 2022),259,274.65,15.65,29
2022-04-12,2022-04-12,"1,492.90 (13 april 2022)","1,415.50 (10 october 2022)","1,492.90","1,415.50",-77.40,30
2022-04-19T07:00:00Z,2022-04-19,"1,575.00 (20 april 2022)","1,553.20 (27 april 2022)","1,575.00","1,553.20",-21.80,31
2022-04-20,2022-04-20,"2,759.00 (21 april 2022)","2,450.55 (18 october 2022)","2,759.00","2,450.55",-308.45,32
2022-04-20,2022-04-20,"1,364.90 (21 april 2022)","1,444.15 (18 october 2022)","1,364.90","1,444.15",79.25,33
2022-04-24T07:00:00Z,2022-04-24,(25 april 2022),(24 july 2022),"3,301.00","3,885.30",584.30,34
2022-05-11T07:00:00Z,2022-05-11,867.20 (17 may 2022),668.20 (13 june 2022),867.2,668.2,-199,35
