Published Date,Date,Stock dated one day after ,Stock dated after hold period ,Stock rate (one day after),Stock rate (after hold period),Net profit or loss,index
2021-10-04T07:00:00Z,10/4/2021,(5 oct 2021),3-Jan-22,"1,349.10","1,233.60",-115.5,0
2021-10-08T07:00:00Z,10/8/2021,(11 oct 2021),(7 January 2022),141.5,131.5,-10,1
2021-10-10T07:00:00Z,10/10/2021,(11 oct 2021),(10 December 2021),"7,405.85","7,426.30",20.45,2
2021-11-27T08:00:00Z,11/27/2021,(29 nov 2021),(27 January 2022),127.4,134.95,7.55,3
2021-11-30T08:00:00Z,11/30/2021,(1 dec 2021),31-Mar-22,"1,293.90","1,487.10",193.2,4
2022-01-13T08:00:00Z,1/13/2022,(14 jan 2022),(14 April 2022),208,231.05,23.05,5
2022-01-21T08:00:00Z,1/21/2022,(24 jan 2022),(22 April 2022),874.45,920.3,45.85,6
2022-04-11T07:00:00Z,4/11/2022,(12 april 2022),10-Oct-22,"1,690.00","2,415.95",725.95,7
2022-04-12T07:00:00Z,4/12/2022,(13 april 2023),(12 July 2023),"7,749.95","8,221.50",471.55,8
2022-05-31T07:00:00Z,5/31/2022,(1 june 2022),(1 aug 2022),553,639.15,86.15,9
2022-07-08T07:00:00Z,7/8/2022,(11 july 2022),7-Oct-22,"1,748.00","2,457.20",709.2,10
2022-07-15T07:00:00Z,7/15/2022,(18 july 2022),14-Oct-22,971,"1,109.25",138.25,11
2022-08-12T07:00:00Z,8/12/2022,(16 aug 2022),9-Feb-23,264.85,310.1,45.25,12
2022-09-04T07:00:00Z,9/4/2022,(5 sept 2022),(5 October 2022),"8,910.05","8,938.90",28.85,13
2022-09-25T07:00:00Z,9/25/2022,(26 sept 2022),25-Nov-22,310.1,324.45,14.35,14
2022-09-29T07:00:00Z,9/29/2022,(30 sept 2022),(29 march 2023),916.35,"1,066.90",150.55,15
2022-10-05T07:00:00Z,10/5/2022,(6 oct 2022),3-Apr-23,"3,822.05","4,320.45",498.4,16
2022-10-07T07:00:00Z,10/7/2022,(10 oct 2022),(6 jan 2023),939.05,"1,032.80",93.75,17
2022-10-19T07:00:00Z,10/19/2022,(20 oct 2022),18-Jan-23,275.6,324.1,48.5,18
2022-11-10T08:00:00Z,11/10/2022,(11 nov 2022),(11 dec 2022),"2,535.00","2,715.55",180.55,19
2022-12-01T08:00:00Z,12/1/2022,(2 dec 2022),(31 January 2023),309.95,332.75,22.8,20
