Date,Close_Price,ChatGPT,Days
1-October-2021,2522.85,,
4-October-2021,2555.85,,
5-October-2021,2609.1,,
6-October-2021,2560.2,,
7-October-2021,2572.15,,
8-October-2021,2670.85,,
11-October-2021,2651.15,1,180
12-October-2021,2668.55,,
13-October-2021,2695.9,,
14-October-2021,2699.85,,
18-October-2021,2707,,
19-October-2021,2731.5,,
20-October-2021,2699.9,,
21-October-2021,2623,,
22-October-2021,2627.05,,
25-October-2021,2601.65,,
26-October-2021,2661.5,,
27-October-2021,2632.65,,
28-October-2021,2599.35,,
29-October-2021,2537.6,,
1-November-2021,2537.35,,
2-November-2021,2500.9,,
3-November-2021,2483.85,,
4-November-2021,2498.8,,
8-November-2021,2502,1,180
9-November-2021,2520.05,,
10-November-2021,2549.4,,
11-November-2021,2554.95,,
12-November-2021,2592.5,,
15-November-2021,2578.55,,
16-November-2021,2512.1,,
17-November-2021,2464.05,,
18-November-2021,2472.75,,
22-November-2021,2363.4,,
23-November-2021,2386.15,,
24-November-2021,2350.9,,
25-November-2021,2494.4,,
26-November-2021,2412.15,,
29-November-2021,2442.5,,
30-November-2021,2406.75,,
1-December-2021,2466.9,,
2-December-2021,2483.8,-1,
3-December-2021,2408.15,,
6-December-2021,2363.3,,
7-December-2021,2381.6,,
8-December-2021,2417.4,,
9-December-2021,2455.85,,
10-December-2021,2458.95,,
13-December-2021,2409.8,,
14-December-2021,2380.4,,
15-December-2021,2372.5,,
16-December-2021,2404.45,,
17-December-2021,2341.15,,
20-December-2021,2277.2,,
21-December-2021,2310.1,,
22-December-2021,2365.95,,
23-December-2021,2364.65,1,180
24-December-2021,2372.25,,
27-December-2021,2369.8,,
28-December-2021,2397.7,,
29-December-2021,2403.05,,
30-December-2021,2356.45,,
31-December-2021,2368.15,1,90
3-January-2022,2404.35,,
4-January-2022,2457.75,,
5-January-2022,2466.05,,
6-January-2022,2416.6,,
7-January-2022,2435.95,,
10-January-2022,2437.65,1,180
11-January-2022,2454.9,,
12-January-2022,2520.6,,
13-January-2022,2535.35,,
14-January-2022,2538.7,,
17-January-2022,2552.3,,
